source,direction,category,code,description,count,normalized_code,category_group
ФГОС,09.04.03,ПК-18: организовывать и проводить переговоры с представит,ПК-18,способностью организовывать и проводить переговоры с представителями заказчика и профессиональные консультации на предприятиях и в организациях,1.0,ПК-18,Разработка ПО
ФГОС,09.04.03,ПК-19: в условиях функционирования ИС брать на себя ответ,ПК-19,"способностью в условиях функционирования ИС брать на себя ответственность за выполнение производственных задач ИТ-служб, эффективно использовать современные приемы и методы работы с ИТ-персоналом",1.0,ПК-19,Безопасность
ФГОС,09.04.03,"ПК-20: использовать передовые методы оценки качества, над",ПК-20,"способностью использовать передовые методы оценки качества, надежности и информационной безопасности ИС в процессе эксплуатации прикладных ИС",1.0,ПК-20,Безопасность
ФГОС,09.04.03,ПК-21: использовать международные информационные ресурсы,ПК-21,способностью использовать международные информационные ресурсы и стандарты в информатизации предприятий и организаций,1.0,ПК-21,Сети и телекоммуникации
ФГОС,09.04.03,ПК-22: использовать информационные сервисы для автоматиза,ПК-22,способностью использовать информационные сервисы для автоматизации прикладных и информационных процессов,1.0,ПК-22,Сети и телекоммуникации
ФГОС,09.04.03,ПК-23: интегрировать компоненты и сервисы ИС,ПК-23,способностью интегрировать компоненты и сервисы ИС,1.0,ПК-23,Сети и телекоммуникации
ФГОС,09.04.02,ОПК-2: анализировать и оценивать уровни своих компетенций,ОПК-2,способностью анализировать и оценивать уровни своих компетенций в сочетании со способностью и готовностью к саморегулированию дальнейшего образования и профессиональной мобильности,1.0,ОПК-2,Образование и саморазвитие
ФГОС,09.04.02,"ОПК-3: владением, по крайней мере, одним из иностранных я",ОПК-3,"владением, по крайней мере, одним из иностранных языков на уровне социального и профессионального общения, способностью применять специальную лексику и профессиональную терминологию языка",1.0,ОПК-3,Основы информатики
ФГОС,09.04.02,"ОПК-4: методами и средствами получения, хранения, перераб",ОПК-4,"владением методами и средствами получения, хранения, переработки и трансляции информации посредством современных компьютерных технологий, в том числе в глобальных компьютерных сетях",1.0,ОПК-4,Инфраструктура и DevOps
ФГОС,09.04.02,ОПК-5: способность анализировать профессиональную информа,ОПК-5,"способность анализировать профессиональную информацию, выделять в ней главное, структурировать, оформлять и представлять в виде аналитических обзоров с обоснованными выводами и рекомендациями",1.0,ОПК-5,Анализ и системное проектирование
ФГОС,09.04.02,ПК-1: разрабатывать новые методы и средства проектирован,ПК-1,умением разрабатывать новые методы и средства проектирования информационных систем,1.0,ПК-1,Разработка ПО
ФГОС,09.04.02,ПК-2: разрабатывать новые технологии проектирования инфо,ПК-2,умением разрабатывать новые технологии проектирования информационных систем,1.0,ПК-2,Разработка ПО
ФГОС,09.04.02,ПК-3: осуществлять авторское сопровождение процессов про,ПК-3,"способностью осуществлять авторское сопровождение процессов проектирования, внедрения и сопровождения информационных систем и технологий",1.0,ПК-3,Архитектура и интеграция
ФГОС,09.04.02,ПК-4: организовывать взаимодействие коллективов разработ,ПК-4,"умением организовывать взаимодействие коллективов разработчика и заказчика, принимать управленческие решения в условиях различных мнений",1.0,ПК-4,Управление проектами и процессами
ФГОС,09.04.02,ПК-5: находить компромисс между различными требованиями,ПК-5,"умением находить компромисс между различными требованиями (стоимости, качества, сроков исполнения) как при долгосрочном, так и при краткосрочном планировании, нахождение оптимальных решений",1.0,ПК-5,Управление проектами и процессами
ФГОС,09.04.02,"ПК-6: осуществлять сбор, анализ научно-технической инфор",ПК-6,"способностью осуществлять сбор, анализ научно-технической информации, отечественного и зарубежного опыта по тематике исследования",1.0,ПК-6,Документация и стандарты
ФГОС,09.04.02,ПК-7: проводить разработку и исследование теоретических,ПК-7,"умением проводить разработку и исследование теоретических и экспериментальных моделей объектов профессиональной деятельности в областях: машиностроение, приборостроение, наука, техника, образование, медицина, административное управление, юриспруденция, бизнес, предпринимательство, коммерция, менеджмент, банковские системы, безопасность информационных систем, управление технологическими процессами, механика, техническая физика, энергетика, ядерная энергетика, силовая электроника, металлургия, строительство, транспорт, железнодорожный транспорт, связь, телекоммуникации, управление инфокоммуникациями, почтовая связь, химическая промышленность, сельское хозяйство, текстильная и легкая промышленность, пищевая промышленность, медицинские и биотехнологии, горное дело, обеспечение безопасности подземных предприятий и производств, геология, нефтегазовая отрасль, геодезия и картография, геоинформационные системы, лесной комплекс, химико-лесной комплекс, экология, сфера сервиса, системы массовой информации, дизайн, медиаиндустрия, а также предприятия различного профиля и все виды деятельности в условиях экономики информационного общества",1.0,ПК-7,Данные и базы данных
ФГОС,09.04.02,ПК-8: проводить разработку и исследование методик анализ,ПК-8,"умением проводить разработку и исследование методик анализа, синтеза, оптимизации и прогнозирования качества процессов функционирования информационных систем и технологий",1.0,ПК-8,Научные исследования и методология
ФГОС,09.04.02,ПК-9: осуществлять моделирование процессов и объектов на,ПК-9,умением осуществлять моделирование процессов и объектов на базе стандартных пакетов автоматизированного проектирования и исследований,1.0,ПК-9,Научные исследования и методология
ФГОС,09.04.02,ПК-10: осуществлять постановку и проведение экспериментов,ПК-10,умением осуществлять постановку и проведение экспериментов по заданной методике и анализ результатов,1.0,ПК-10,Научные исследования и методология
