source,direction,category,code,description,count,normalized_code
ФГОС,09.04.04,ПК,ПК-2,знанием методов оптимизации и умением применять их при решении задач профессиональной деятельности,1,ПК-2
ФГОС,09.04.04,ПК,ПК-3,владением существующими методами и алгоритмами решения задач распознавания и обработки данных,1,ПК-3
ФГОС,09.04.04,ПК,ПК-4,владением существующими методами и алгоритмами решения задач цифровой обработки сигналов,1,ПК-4
ФГОС,09.04.04,ПК,ПК-5,пониманием существующих подходов к верификации моделей программного обеспечения,1,ПК-5
ФГОС,09.04.04,ПК,ПК-6,"способностью проектировать распределенные информационные системы, их компоненты и протоколы их взаимодействия",1,ПК-6
ФГОС,09.04.04,ПК,ПК-8,способностью проектировать трансляторы и интерпретаторы языков программирования,1,ПК-8
ФГОС,09.04.04,ПК,ПК-9,способностью проектировать сетевые службы,1,ПК-9
ФГОС,09.04.04,ПК,ПК-10,способностью проектировать основные компоненты операционных систем,1,ПК-10
ФГОС,09.04.04,ПК,ПК-11,способностью проектировать вспомогательные и специализированные языки программирования и языки представления данных,1,ПК-11
ФГОС,09.04.04,ПК,ПК-12,владением навыками программной реализации распределенных информационных систем,1,ПК-12
ФГОС,09.04.04,ПК,ПК-13,владением навыками программной реализации систем с параллельной обработкой данных и высокопроизводительных систем,1,ПК-13
ФГОС,09.04.04,ПК,ПК-14,"владением навыками создания программного обеспечения для анализа, распознавания и обработки информации, систем цифровой обработки сигналов",1,ПК-14
ФГОС,09.04.04,ПК,ПК-15,владением навыками создания трансляторов и интерпретаторов языков программирования,1,ПК-15
ФГОС,09.04.04,ПК,ПК-16,владением навыками создания служб сетевых протоколов,1,ПК-16
ФГОС,09.04.04,ПК,ПК-17,владением навыками создания компонент операционных систем и систем реального времени,1,ПК-17
ФГОС,09.04.04,ПК,ПК-18,владением навыками создания систем обработки текстов,1,ПК-18
ФГОС,09.04.04,ПК,ПК-19,владением навыками организации промышленного тестирования создаваемого программного обеспечения,1,ПК-19
ФГОС,09.04.04,ПК,ПК-20,владением навыками разработки программного обеспечения для создания трехмерных изображений,1,ПК-20
ФГОС,09.04.01,ОПК,ОПК-1,"культурой мышления, способностью выстраивать логику рассуждений и высказываний, основанных на интерпретации данных, интегрированных из разных областей науки и техники, выносить суждения на основании неполных данных",1,ОПК-1
ФГОС,09.04.01,ОПК,ОПК-2,способностью анализировать и оценивать уровни своих компетенций в сочетании со способностью и готовностью к саморегулированию дальнейшего образования и профессиональной мобильности,1,ОПК-2
ФГОС,09.04.01,ОПК,ОПК-3,"владением, по крайней мере, одним из иностранных языков на уровне социального и профессионального общения, способностью применять специальную лексику и профессиональную терминологию языка",1,ОПК-3
ФГОС,09.04.01,ОПК,ОПК-4,"владением методами и средствами получения, хранения, переработки и трансляции информации посредством современных компьютерных технологий, в том числе в глобальных компьютерных сетях",1,ОПК-4
ФГОС,09.04.01,ОПК,ОПК-5,"способностью анализировать профессиональную информацию, выделять в ней главное, структурировать, оформлять и представлять в виде аналитических обзоров с обоснованными выводами и рекомендациями",1,ОПК-5
ФГОС,09.04.01,ПК,ПК-1,знанием методов научных исследований и владение навыками их проведения,1,ПК-1
ФГОС,09.04.01,ПК,ПК-2,знанием методов оптимизации и умение применять их при решении задач профессиональной деятельности,1,ПК-2
ФГОС,09.04.01,ПК,ПК-3,владением существующими методами и алгоритмами решения задач распознавания и обработки данных,1,ПК-3
ФГОС,09.04.01,ПК,ПК-4,владением существующими методами и алгоритмами решения задач цифровой обработки сигналов,1,ПК-4
ФГОС,09.04.01,ПК,ПК-5,пониманием существующих подходов к верификации моделей программного обеспечения (ПО,1,ПК-5
ФГОС,09.04.01,ПК,ПК-6,применением перспективных методов исследования и решения профессиональных задач на основе знания мировых тенденций развития вычислительной техники и информационных технологий,1,ПК-6
ФГОС,09.04.01,ПК,ПК-7,"способностью проектировать распределенные информационные системы, их компоненты и протоколы их взаимодействия",1,ПК-7
ФГОС,09.04.01,ПК,ПК-8,способностью проектировать системы с параллельной обработкой данных и высокопроизводительные системы и их компоненты,1,ПК-8
ФГОС,09.04.01,ПК,ПК-9,способностью разрабатывать и реализовывать планы информатизации предприятий и их подразделений на основе Web- и CALS-технологий,1,ПК-9
ФГОС,09.04.01,ПК,ПК-10,способностью формировать технические задания и участвовать в разработке аппаратных и (или) программных средств вычислительной техники,1,ПК-10
ФГОС,09.04.01,ПК,ПК-11,способностью выбирать методы и разрабатывать алгоритмы решения задач управления и проектирования объектов автоматизации,1,ПК-11
ФГОС,09.04.01,ПК,ПК-12,способностью к программной реализации распределенных информационных систем (ПК- 13); способностью к программной реализации систем с параллельной обработкой данных и высокопроизводительных систем,1,ПК-12
